DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,ID LOCALIDAD,LOCALIDAD,AÑO SERVICIO,MES SERVICIO,ENERGÍA ACTIVA,ENERGÍA REACTIVA,POTENCIA MÁXIMA,DÍA DE DEMANDA MÁXIMA,FECHA DE DEMANDA MÁXIMA,PROMEDIO DIARIO EN HORAS,ID DEPARTAMENTO,HORA DEMANDA MÁXIMA,AÑO
CASANARE,85430.0,TRINIDAD,85430001.0,BOCAS DEL PAUTO (TRINIDAD - CASANARE),2020.0,2.0,13909,7296.0,110.27,jueves,2020-02-23 19:00:00,5.48,85.0,19:00:00,
CAUCA,19418.0,LÓPEZ DE MICAY,19418011.0,DOS QUEBRADAS RÍO NAYA (LÓPEZ DE MICAY - CAUCA),2020.0,2.0,6035,1889.0,43.65,martes,2020-01-15 18:45:00,5.47,19.0,18:45:00,
CAUCA,19418.0,LÓPEZ DE MICAY,19418038.0,ISLA DE GALLO (LÓPEZ DE MICAY - CAUCA),2020.0,2.0,2834,905.0,26.34,viernes,2020-01-15 18:45:00,4.35,19.0,18:45:00,
CAUCA,19418.0,LÓPEZ DE MICAY,19418009.0,NOANAMITO (LÓPEZ DE MICAY - CAUCA),2020.0,2.0,3995,2058.0,44.0,miércoles,2020-01-15 18:45:00,5.25,19.0,18:45:00,
CAUCA,19418.0,LÓPEZ DE MICAY,19418012.0,SAN ANTONIO DE CHUARÉ (LÓPEZ DE MICAY - CAUCA),2020.0,2.0,6033,1790.0,61.5,sábado,2020-01-15 18:45:00,4.08,19.0,18:45:00,
CAUCA,19418.0,LÓPEZ DE MICAY,19418019.0,ZARAGOZA (LOPEZ DE MICAY - CAUCA),2020.0,2.0,7099,2930.0,55.33,domingo,2020-01-15 18:45:00,5.59,19.0,18:45:00,
CAUCA,19809.0,TIMBIQUÍ,19809014.0,CHACÓN (TIMBIQUÍ - CAUCA),2020.0,2.0,2019,364.0,26.64,sábado,2020-01-15 18:45:00,3.12,19.0,18:45:00,
CAUCA,19809.0,TIMBIQUÍ,19809010.0,COMUNIDAD DE CHETE (TIMBIQUÍ - CAUCA),2020.0,2.0,2489,695.0,40.03,viernes,2020-01-15 18:45:00,2.3,19.0,18:45:00,
CAUCA,19809.0,TIMBIQUÍ,19809003.0,COTEJE (TIMBIQUÍ - CAUCA),2020.0,2.0,4501,2754.0,34.88,sábado,2020-01-15 18:45:00,5.12,19.0,18:45:00,
CAUCA,19809.0,TIMBIQUÍ,19809026.0,LOS BRAZOS (TIMBIQUÍ - CAUCA),2020.0,2.0,7857,1301.0,52.3,martes,2020-01-15 18:45:00,6.02,19.0,18:45:00,
