DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,ID LOCALIDAD,LOCALIDAD,AÑO SERVICIO,MES SERVICIO,ENERGÍA ACTIVA,ENERGÍA REACTIVA,POTENCIA MÁXIMA,DÍA DE DEMANDA MÁXIMA,FECHA DE DEMANDA MÁXIMA,PROMEDIO DIARIO EN HORAS,ID DEPARTAMENTO,HORA DEMANDA MÁXIMA,CATEGORIA_ZNI
ANTIOQUIA,5873,VIGIA DEL FUERTE,5873001,SAN ANTONIO DE PADUA (VIGÍA DEL FUERTE - ANTIOQUIA),2020,2,5609,1448,52.93,Jueves,2020-01-23 21:45:00,4.37,5,21:45:00,0
ANTIOQUIA,5873,VIGIA DEL FUERTE,5873002,VEGÁEZ (VIGÍA DEL FUERTE - ANTIOQUIA),2020,2,5178,717,43.14,Jueves,2020-01-23 21:45:00,5.4,5,21:45:00,0
ANTIOQUIA,5873,VIGIA DEL FUERTE,5873000,VIGÍA DEL FUERTE (VIGÍA DEL FUERTE - ANTIOQUIA),2020,2,93760,39361,323.49,Jueves,2020-01-23 21:45:00,11.49,5,21:45:00,0
"ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",88564,PROVIDENCIA,88564000,PROVIDENCIA (PROVIDENCIA - ARCHIPIÉLAGO DE SAN ANDRÉS Y PROVIDENCIA),2020,2,938090,321284,1610.85,Viernes,2020-02-28 19:00:00,24.0,88,19:00:00,2
"ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",88001,SAN ANDRES,88001000,SAN ANDRÉS (SAN ANDRÉS - ARCHIPIÉLAGO DE SAN ANDRÉS Y PROVIDENCIA),2020,2,15684818,4533824,28217.6,Viernes,2020-02-28 19:00:00,24.0,88,19:00:00,1
BOLIVAR,13001,CARTAGENA DE INDIAS,13001007,ISLA FUERTE (CARTAGENA DE INDIAS - BOLÍVAR),2020,2,15514,8486,114.57,Jueves,2020-01-30 19:00:00,5.37,13,19:00:00,0
BOLIVAR,13001,CARTAGENA DE INDIAS,13001037,ISLA MÚCURA (CARTAGENA DE INDIAS - BOLÍVAR),2020,2,6477,2892,25.54,Jueves,2020-01-30 19:00:00,10.49,13,19:00:00,0
BOLIVAR,13001,CARTAGENA DE INDIAS,13001017,SANTA CRUZ DEL ISLOTE (CARTAGENA DE INDIAS - BOLÍVAR),2020,2,12675,4372,45.06,Jueves,2020-01-30 19:00:00,13.26,13,19:00:00,0
CAQUETA,18150,CARTAGENA DEL CHAIRA,18150001,REMOLINO DEL CAGUÁN (CARTAGENA DEL CHAIRA - CAQUETÁ),2020,2,15525,7062,90.37,Martes,2020-01-21 19:15:00,8.1,18,19:15:00,0
CAQUETA,18753,SAN VICENTE DEL CAGUAN,18753002,GUACAMAYAS (SAN VICENTE DEL CAGUÁN - CAQUETÁ),2020,2,12257,5917,40.15,Martes,2020-01-21 19:15:00,18.1,18,19:15:00,2
CAQUETA,18753,SAN VICENTE DEL CAGUAN,18753009,PUERTO BETANIA (SAN VICENTE DEL CAGUÁN - CAQUETÁ),2020,2,1604,633,40.72,Martes,2020-01-21 19:15:00,1.49,18,19:15:00,0
CASANARE,85430,TRINIDAD,85430001,BOCAS DEL PAUTO (TRINIDAD - CASANARE),2020,2,13909,7296,110.27,Domingo,2020-02-23 19:00:00,5.48,85,19:00:00,0
CAUCA,19418,LOPEZ DE MICAY,19418011,DOS QUEBRADAS RÍO NAYA (LÓPEZ DE MICAY - CAUCA),2020,2,6035,1889,43.65,Miércoles,2020-01-15 18:45:00,5.47,19,18:45:00,0
CAUCA,19418,LOPEZ DE MICAY,19418038,ISLA DE GALLO (LÓPEZ DE MICAY - CAUCA),2020,2,2834,905,26.34,Miércoles,2020-01-15 18:45:00,4.35,19,18:45:00,0
CAUCA,19418,LOPEZ DE MICAY,19418009,NOANAMITO (LÓPEZ DE MICAY - CAUCA),2020,2,3995,2058,44.0,Miércoles,2020-01-15 18:45:00,5.25,19,18:45:00,0
CAUCA,19418,LOPEZ DE MICAY,19418012,SAN ANTONIO DE CHUARÉ (LÓPEZ DE MICAY - CAUCA),2020,2,6033,1790,61.5,Miércoles,2020-01-15 18:45:00,4.08,19,18:45:00,0
CAUCA,19418,LOPEZ DE MICAY,19418019,ZARAGOZA (LOPEZ DE MICAY - CAUCA),2020,2,7099,2930,55.33,Miércoles,2020-01-15 18:45:00,5.59,19,18:45:00,0
CAUCA,19809,TIMBIQUI,19809014,CHACÓN (TIMBIQUÍ - CAUCA),2020,2,2019,364,26.64,Miércoles,2020-01-15 18:45:00,3.12,19,18:45:00,0
CAUCA,19809,TIMBIQUI,19809010,COMUNIDAD DE CHETE (TIMBIQUÍ - CAUCA),2020,2,2489,695,40.03,Miércoles,2020-01-15 18:45:00,2.3,19,18:45:00,0
CAUCA,19809,TIMBIQUI,19809003,COTEJE (TIMBIQUÍ - CAUCA),2020,2,4501,2754,34.88,Miércoles,2020-01-15 18:45:00,5.12,19,18:45:00,0
CAUCA,19809,TIMBIQUI,19809026,LOS BRAZOS (TIMBIQUÍ - CAUCA),2020,2,7857,1301,52.3,Miércoles,2020-01-15 18:45:00,6.02,19,18:45:00,0
CAUCA,19809,TIMBIQUI,19809023,PUERTO SAIJA (TIMBIQUÍ - CAUCA),2020,2,25416,8460,174.06,Miércoles,2020-01-15 18:45:00,5.58,19,18:45:00,0
CAUCA,19809,TIMBIQUI,19809007,SAN JOSÉ (TIMBIQUÍ - CAUCA),2020,2,1747,1028,46.75,Miércoles,2020-01-15 18:45:00,1.39,19,18:45:00,0
CAUCA,19809,TIMBIQUI,19809008,SANTA MARÍA (TIMBIQUÍ - CAUCA),2020,2,2420,955,76.22,Miércoles,2020-01-15 18:45:00,1.29,19,18:45:00,0
